Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Barrio Santa Cruz,1776039231-5,Civitatis,19/03/2026,No especificado,No especificado,Viajó con amigos,Muy interesante,España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828743-14,Civitatis,26/02/2026,No especificado,No especificado,Viajó en pareja,Recomendadisimo este free tour. Es la primera vez que visitábamos Sevilla y nos ha encantado. Hemos conocido las zonas más importantes de Sevilla y Antonio nos ha explicado todo super bien. Tenemos claro que repetiríamos sin dudarlo. Con ganas de conocer mucho más de Sevilla.,España,Residente,Comunidad de Madrid
Barrio Triana,1776038771-6,Civitatis,28/01/2025,No especificado,No especificado,Viajó con amigos,"Triana hoy a las 17 h. Pablo ha resultado un guía excelente, ameno y con conocimientos de historia y arte de Triana.
Su recorrido ha sido muy ameno, atento a cada uno de nosotros y dispuesto a responder cada pregunta. Muy bien.
Las 5 personas encantadas con la visita.",España,Residente,Comunidad de Madrid
Paseo por el río Guadalquivir en barco ecológico,1775815765-12,Civitatis,17/05/2025,No especificado,No especificado,Viajó con amigos,Un paseo muy agradable,España,Residente,Comunidad de Madrid
Free tour por Sevilla,1775828823-14,Civitatis,13/01/2026,No especificado,No especificado,Viajó con hijos pequeños,"Nos gustó mucho Olga, transmite mucho de forma muy amena y cercana. Muy alegre e involucrada con el grupo.",España,Residente,Galicia
Free tour por Sevilla,1775828888-19,Civitatis,27/01/2025,No especificado,No especificado,Viajó en pareja,Un chico muy agradable que nos explicó todo muy bien,España,Residente,Galicia
Barrio Santa Cruz,1776039194-5,Civitatis,27/07/2025,No especificado,No especificado,Viajó con hijos mayores,"Antonio, el guía, es unbgran profesional e hizo una ruta muy amena y entretenida. Recomendamos",España,Residente,Islas Baleares
Free tour por Sevilla,1775829142-6,Civitatis,6/7/2025,No especificado,No especificado,Viajó solo,"Fue genial! El guía hizo el tour muy ameno, con abundantes explicaciones y amabilidad. Era evidente que conocía la historia de Sevilla al detalle.
De todos modos, la excelencia es muy cara y siempre hay cosas que mejorar. La duración, un poco más larga, y la forma de entregar el importe. Y quizá el lenguaje, aunque no me importó,no tengo niños.",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828563-11,Civitatis,5/9/2025,No especificado,No especificado,Viajó en pareja,"La catedral, la giralda y el alcázar son una joya, merece la pena contratar una visita guiada. Nuestro guía Manuel, nos explicó con detalle todos los datos más interesantes. Encontré poco tiempo para realizar fotografías, el grupo continuaba y cuando te incorporabas ya te habías perdido parte de la explicación. Desgraciadamente no pudimos disfrutar de los jardines porque estaban cerrados. No recomiendo hacer este tour en verano, sobretodo si tu intención es subir a la giralda.",No especificado,No especificado,No aplica
Free tour por Sevilla,1775829142-19,Civitatis,6/6/2025,No especificado,No especificado,Viajó en pareja,"100% recomendable. Silvia, nuestra guía es de 10. Nos explicó muchas cosas interesantes, Sevilla es preciosa!! Su objetivo era que lo pasáramos bien y aprendieramos y... misión cumplida, se nota que disfruta de su trabajo!! Asi da gusto. Gracias por tus deberes Silvia!",No especificado,No especificado,No aplica
Catedral de Sevilla,1776037854-14,Civitatis,8/2/2025,No especificado,No especificado,Viajó con hijos mayores,"La visita con nuestra guía Johana, fue bastante escasa, en cuanto a explicaciones. Se centro en comentar la tumba de Colon, el retablo mayor y un par de capillas, con anecdotas interesantes. Sin embargo, no se visito, ni se habló nada del exterior de la catedral, de su arquitectura y construcción; En el interior, no sé explicó nada ni del coro, ni de las naves.",España,Residente,Principado de Asturias
